JUDUL;PENGARANG;TAHUN TERBIT;JUMLAH;KOSONG
CREATING LAND OF GOLDEN OPPORTUNITY;HERMAWAN KARTAYA;2003;1;
ANATOMI & FISIOLOGI UNTUK PARAMEDIS;EVELYN C. PEARCE;2003;2;
MAHARANI;PEARL S. BUCK;2003;3;
PENGANTAR EVALUASI PROYEK ED 2;CLIVE GRAY;2003;4;
HARLEQUIN  : RULES OF ENGAGEMENT - SYARAT PERTUNANGAN;CARLA CASSIDI;2003;5;
TEORI KESUSASTRAAN ED BARU;RENE WELLEK;2003;6;
A THOUSAND SHIPS - SERIBU KAPAL;SHANOWER;2003;7;
THE BOURNE SUPREMACY - SUPREMASI BOURNE;ROBERT LUDLUM;2003;8;
METROPOP: CINTA ANDROMEDA;TRIA BARMAWI;2003;9;
THE HISTORIAN - SANG SEJARAWAN;ELIZABETH KOSTOVA;2003;10;
THE BOURNE ULTIMATUM - ULTIMATUM BOURNE;ROBERT LUDLUM;2003;11;
CELANA PACAR KECILKU DIBAWAH KIBARAN SARUNG;JOKO PINURBO;2003;12;
PIKIRAN YANG RETAK;ROBERT B. OXNAM;2003;13;
THE LIFE-GIVING SWORD - NASIHAT KLASIK AJARAN ZEN...;YAGYU MUNENORI;2003;14;
THE SCIENCE OF GETTING RICH - MENJADI KAYA DG BERPIKIR POSIT;RATIH HARDJONO;2003;15;
KIMIA PANGAN & GIZI;WINARNO;2003;16;
PM : PENGANTAR ILMU EKONOMI 2;TH. GIELES G.;2003;17;
PENUNTUN DIIT ANAK;RS CIPTO MANGUN;2003;18;
POLITIK MODERNISASI;DAVID E. APTER;2003;19;
ANAK BAJANG MENGIRING ANGIN;SINDUHUNATA;2003;20;
MANAJEMEN KEARSIPAN;ZULKIPLI A.M.;2003;21;
HOTEL FRONT OFFICE ADMINISTRAS;XX;2003;22;
SINTAKSIS ED. 2;JOS DANIEL PARE;2003;23;
DIKSI & GAYA BAHASA;DR. GORYS KERAF;2003;24;
MBT:CONTOH SP EKONOMI MANAJERI;VINCENT GASPERS;2005;25;
KANG SEJO MELIHAT TUHAN COVER BARU;MOHAMAD SOBARY;2005;26;
OPERATIONS RESEARCH;DJ. SIMARMATA;2005;27;
PED. PEMB. USULAN PENELITIAN;XX;2005;28;
TWENTY STEPS TO WISDOM;XX;2005;29;
REFLECTION MANAGER;XX;2005;30;
STATISTIK NON PARAMETRIK TPD;WAYNE W DANIE;2005;31;
KUNDALINI ED BARU;IRMANSYAH E.;2005;32;
KAMUS INDONESIA-DAERAH;IR. SUGIARTO;2005;33;
PRINSIP BIOLOGI TUM U/ TROP. 2;AR LOVELES;2005;34;
LOGIKA DASAR : TSI;R.G. SOEKADIJO;2005;35;
SPEED READING - SISTEM MEMBACA CEPAT & EFEKTIF;SOEDARSO;2005;36;
WASTU CITRA;YB MANGUNWIJAYA;2005;37;
RUMAH GAYA MEDITERANIA;ZAINAL AZ;2005;38;
